"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US360050001000","Block Group 0, Census Tract 1, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050001001","Block Group 1, Census Tract 1, Bronx County, New York","6600","684","null","null","2560","288","null","null","3441","430","null","null","27","27","null","null","171","69","null","null","0","17","null","null","252","null","177","null","149","74","null","null","44","41","null","null","105","55","null","null",
"1500000US360050002000","Block Group 0, Census Tract 2, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050002001","Block Group 1, Census Tract 2, Bronx County, New York","1385","365","null","null","559","291","null","null","561","331","null","null","0","12","null","null","38","59","null","null","0","12","null","null","203","null","132","null","24","36","null","null","0","12","null","null","24","36","null","null",
"1500000US360050002002","Block Group 2, Census Tract 2, Bronx County, New York","1542","627","null","null","224","190","null","null","556","394","null","null","0","12","null","null","34","52","null","null","0","12","null","null","502","null","331","null","226","243","null","null","203","241","null","null","23","25","null","null",
"1500000US360050002003","Block Group 3, Census Tract 2, Bronx County, New York","1240","355","null","null","489","232","null","null","277","208","null","null","0","12","null","null","43","62","null","null","0","12","null","null","377","null","329","null","54","81","null","null","0","12","null","null","54","81","null","null",
"1500000US360050004000","Block Group 0, Census Tract 4, Bronx County, New York","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050004001","Block Group 1, Census Tract 4, Bronx County, New York","491","314","null","null","365","275","null","null","18","29","null","null","0","12","null","null","25","37","null","null","0","12","null","null","83","null","138","null","0","12","null","null","0","12","null","null","0","12","null","null",
"1500000US360050004002","Block Group 2, Census Tract 4, Bronx County, New York","728","409","null","null","373","265","null","null","88","92","null","null","0","12","null","null","0","12","null","null","0","12","null","null","213","null","280","null","54","66","null","null","0","12","null","null","54","66","null","null",
"1500000US360050004003","Block Group 3, Census Tract 4, Bronx County, New York","3817","913","null","null","1088","372","null","null","1151","371","null","null","15","24","null","null","148","160","null","null","0","12","null","null","1274","null","880","null","141","115","null","null","47","55","null","null","94","89","null","null",
"1500000US360050004004","Block Group 4, Census Tract 4, Bronx County, New York","648","281","null","null","359","226","null","null","91","92","null","null","0","12","null","null","0","12","null","null","0","12","null","null","155","null","163","null","43","66","null","null","0","12","null","null","43","66","null","null",
